@PRODUCTS,YOKOGAWA,CENTUM,,
@ID,BKEEdtOgMsg,,,
%OG0341,,W,,
%OG0342,,W,,
%OG0343,,W,,
%OG0344,,W,,
%OG0345,,W,,
%OG0346,,W,,
%OG0347,,W,,
%OG0348,,W,,
%OG0349,,W,,
%OG0350,,W,,
%OG0351,,W,,
%OG0352,,W,,
%OG0353,,W,,
%OG0354,,W,,
%OG0355,,W,,
%OG0356,,W,,
%OG0357,,W,,
%OG0358,,W,,
%OG0359,,W,,
%OG0360,,W,,
%OG0361,,W,,
%OG0362,,W,,
%OG0363,,W,,
%OG0364,,W,,
%OG0365,,W,,
%OG0366,,W,,
%OG0367,,W,,
%OG0368,,W,,
%OG0369,,W,,
%OG0370,,W,,
%OG0371,,W,,
%OG0372,,W,,
%OG0373,,W,,
%OG0374,,W,,
%OG0375,,W,,
%OG0376,,W,,
%OG0377,,W,,
%OG0378,,W,,
%OG0379,,W,,
%OG0380,,W,,
%OG0381,,W,,
%OG0382,,W,,
%OG0383,,W,,
%OG0384,,W,,
%OG0385,,W,,
%OG0386,,W,,
%OG0387,,W,,
%OG0388,,W,,
%OG0389,,W,,
%OG0390,,W,,
%OG0391,,W,,
%OG0392,,W,,
%OG0393,,W,,
%OG0394,,W,,
%OG0395,,W,,
%OG0396,,W,,
%OG0397,,W,,
%OG0398,,W,,
%OG0399,,W,,
%OG0400,,W,,
%OG0401,,W,,
%OG0402,,W,,
%OG0403,,W,,
%OG0404,,W,,
%OG0405,,W,,
%OG0406,,W,,
%OG0407,,W,,
%OG0408,,W,,
%OG0409,,W,,
%OG0410,,W,,
%OG0411,,W,,
%OG0412,,W,,
%OG0413,,W,,
%OG0414,,W,,
%OG0415,,W,,
%OG0416,,W,,
%OG0417,,W,,
%OG0418,,W,,
%OG0419,,W,,
%OG0420,,W,,
%OG0421,,W,,
%OG0422,,W,,
%OG0423,,W,,
%OG0424,,W,,
%OG0425,,W,,
%OG0426,,W,,
%OG0427,,W,,
%OG0428,,W,,
%OG0429,,W,,
%OG0430,,W,,
%OG0431,,W,,
%OG0432,,W,,
%OG0433,,W,,
%OG0434,,W,,
%OG0435,,W,,
%OG0436,,W,,
%OG0437,,W,,
%OG0438,,W,,
%OG0439,,W,,
%OG0440,,W,,
%OG0441,,W,,
%OG0442,,W,,
%OG0443,,W,,
%OG0444,,W,,
%OG0445,,W,,
%OG0446,,W,,
%OG0447,,W,,
%OG0448,,W,,
%OG0449,,W,,
%OG0450,,W,,
%OG0451,,W,,
%OG0452,,W,,
%OG0453,,W,,
%OG0454,,W,,
%OG0455,,W,,
%OG0456,,W,,
%OG0457,,W,,
%OG0458,,W,,
%OG0459,,W,,
%OG0460,,W,,
%OG0461,,W,,
%OG0462,,W,,
%OG0463,,W,,
%OG0464,,W,,
%OG0465,,W,,
%OG0466,,W,,
%OG0467,,W,,
%OG0468,,W,,
%OG0469,,W,,
%OG0470,,W,,
%OG0471,,W,,
%OG0472,,W,,
%OG0473,,W,,
%OG0474,,W,,
%OG0475,,W,,
%OG0476,,W,,
%OG0477,,W,,
%OG0478,,W,,
%OG0479,,W,,
%OG0480,,W,,
%OG0481,,W,,
%OG0482,,W,,
%OG0483,,W,,
%OG0484,,W,,
%OG0485,,W,,
%OG0486,,W,,
%OG0487,,W,,
%OG0488,,W,,
%OG0489,,W,,
%OG0490,,W,,
%OG0491,,W,,
%OG0492,,W,,
%OG0493,,W,,
%OG0494,,W,,
%OG0495,,W,,
%OG0496,,W,,
%OG0497,,W,,
%OG0498,,W,,
%OG0499,,W,,
%OG0500,,W,,
%OG0501,,W,,
%OG0502,,W,,
%OG0503,,W,,
%OG0504,,W,,
%OG0505,,W,,
%OG0506,,W,,
%OG0507,,W,,
%OG0508,,W,,
%OG0509,,W,,
%OG0510,,W,,
%OG0511,,W,,
%OG0512,,W,,
%OG0513,,W,,
%OG0514,,W,,
%OG0515,,W,,
%OG0516,,W,,
%OG0517,,W,,
%OG0518,,W,,
%OG0519,,W,,
%OG0520,,W,,
%OG0521,,W,,
%OG0522,,W,,
%OG0523,,W,,
%OG0524,,W,,
%OG0525,,W,,
%OG0526,,W,,
%OG0527,,W,,
%OG0528,,W,,
%OG0529,,W,,
%OG0530,,W,,
%OG0531,,W,,
%OG0532,,W,,
%OG0533,,W,,
%OG0534,,W,,
%OG0535,,W,,
%OG0536,,W,,
%OG0537,,W,,
%OG0538,,W,,
%OG0539,,W,,
%OG0540,,W,,
%OG0541,,W,,
%OG0542,,W,,
%OG0543,,W,,
%OG0544,,W,,
%OG0545,,W,,
%OG0546,,W,,
%OG0547,,W,,
%OG0548,,W,,
%OG0549,,W,,
%OG0550,,W,,
%OG0551,,W,,
%OG0552,,W,,
%OG0553,,W,,
%OG0554,,W,,
%OG0555,,W,,
%OG0556,,W,,
%OG0557,,W,,
%OG0558,,W,,
%OG0559,,W,,
%OG0560,,W,,
%OG0561,,W,,
%OG0562,,W,,
%OG0563,,W,,
%OG0564,,W,,
%OG0565,,W,,
%OG0566,,W,,
%OG0567,,W,,
%OG0568,,W,,
%OG0569,,W,,
%OG0570,,W,,
%OG0571,,W,,
%OG0572,,W,,
%OG0573,,W,,
%OG0574,,W,,
%OG0575,,W,,
%OG0576,,W,,
%OG0577,,W,,
%OG0578,,W,,
%OG0579,,W,,
%OG0580,,W,,
%OG0581,,W,,
%OG0582,,W,,
%OG0583,,W,,
%OG0584,,W,,
%OG0585,,W,,
%OG0586,,W,,
%OG0587,,W,,
%OG0588,,W,,
%OG0589,,W,,
%OG0590,,W,,
%OG0591,,W,,
%OG0592,,W,,
%OG0593,,W,,
%OG0594,,W,,
%OG0595,,W,,
%OG0596,,W,,
%OG0597,,W,,
%OG0598,,W,,
%OG0599,,W,,
%OG0600,,W,,
%OG0601,,W,,
%OG0602,,W,,
%OG0603,,W,,
%OG0604,,W,,
%OG0605,,W,,
%OG0606,,W,,
%OG0607,,W,,
%OG0608,,W,,
%OG0609,,W,,
%OG0610,,W,,
%OG0611,,W,,
%OG0612,,W,,
%OG0613,,W,,
%OG0614,,W,,
%OG0615,,W,,
%OG0616,,W,,
%OG0617,,W,,
%OG0618,,W,,
%OG0619,,W,,
%OG0620,,W,,
%OG0621,,W,,
%OG0622,,W,,
%OG0623,,W,,
%OG0624,,W,,
%OG0625,,W,,
%OG0626,,W,,
%OG0627,,W,,
%OG0628,,W,,
%OG0629,,W,,
%OG0630,,W,,
%OG0631,,W,,
%OG0632,,W,,
%OG0633,,W,,
%OG0634,,W,,
%OG0635,,W,,
%OG0636,,W,,
%OG0637,,W,,
%OG0638,,W,,
%OG0639,,W,,
%OG0640,,W,,
%OG0641,,W,,
%OG0642,,W,,
%OG0643,,W,,
%OG0644,,W,,
%OG0645,,W,,
%OG0646,,W,,
%OG0647,,W,,
%OG0648,,W,,
%OG0649,,W,,
%OG0650,,W,,
%OG0651,,W,,
%OG0652,,W,,
%OG0653,,W,,
%OG0654,,W,,
%OG0655,,W,,
%OG0656,,W,,
%OG0657,,W,,
%OG0658,,W,,
%OG0659,,W,,
%OG0660,,W,,
%OG0661,,W,,
%OG0662,,W,,
%OG0663,,W,,
%OG0664,,W,,
%OG0665,,W,,
%OG0666,,W,,
%OG0667,,W,,
%OG0668,,W,,
%OG0669,,W,,
%OG0670,,W,,
%OG0671,,W,,
%OG0672,,W,,
%OG0673,,W,,
%OG0674,,W,,
%OG0675,,W,,
%OG0676,,W,,
%OG0677,,W,,
%OG0678,,W,,
%OG0679,,W,,
%OG0680,,W,,
%OG0681,,W,,
%OG0682,,W,,
%OG0683,,W,,
%OG0684,,W,,
%OG0685,,W,,
%OG0686,,W,,
%OG0687,,W,,
%OG0688,,W,,
%OG0689,,W,,
%OG0690,,W,,
%OG0691,,W,,
%OG0692,,W,,
%OG0693,,W,,
%OG0694,,W,,
%OG0695,,W,,
%OG0696,,W,,
%OG0697,,W,,
%OG0698,,W,,
%OG0699,,W,,
%OG0700,,W,,
%OG0701,,W,,
%OG0702,,W,,
%OG0703,,W,,
%OG0704,,W,,
%OG0705,,W,,
%OG0706,,W,,
%OG0707,,W,,
%OG0708,,W,,
%OG0709,,W,,
%OG0710,,W,,
%OG0711,,W,,
%OG0712,,W,,
%OG0713,,W,,
%OG0714,,W,,
%OG0715,,W,,
%OG0716,,W,,
%OG0717,,W,,
%OG0718,,W,,
%OG0719,,W,,
%OG0720,,W,,
%OG0721,,W,,
%OG0722,,W,,
%OG0723,,W,,
%OG0724,,W,,
%OG0725,,W,,
%OG0726,,W,,
%OG0727,,W,,
%OG0728,,W,,
%OG0729,,W,,
%OG0730,,W,,
%OG0731,,W,,
%OG0732,,W,,
%OG0733,,W,,
